Alecat	165849	155718	203097	63066	80362	97224	108125	119381	59479	108411
Fraker	634817	501199	935347	497390	719856	567393	415665	505438	684306	527857
OdoSin	142193	36531	90432	59920	71581	59901	44591	46829	68949	47174
Ampcar	482645	184726	187425	76662	100720	98853	96271	205940	87505	107305
RCC7018	2720	2308	3464	2007	1982	2245	2044	2232	1736	2197
Neodes	67197	46520	73647	26314	33450	43203	38531	44210	25293	41847
Thaant	184606	53227	211976	140219	215181	164829	112145	117018	248436	123362
CCMP2000	53565	35436	64620	32085	22675	34750	30292	44978	16625	40511
Eupcra	104835	36437	89460	49886	62146	54015	46928	52617	64833	53966
Chadeb	271781	166241	347235	212846	244276	176740	123627	140739	222959	145818
Malsp	115693	86304	158544	85740	111593	87545	76159	90027	99506	97741
CCMP2293	420003	196414	316228	156479	153219	166484	147011	177352	99980	172934
Scrtro	665293	616949	698526	179515	292819	331686	322491	375884	223936	345556
Chacf.	266619	172179	332757	226238	233776	140912	100461	108568	180669	111519
Thanit	707154	166561	418960	227846	339206	187133	154067	187410	259204	178648
Thrsp	80342	55059	93603	44311	51850	52435	48779	54042	50442	63629
Polgla	457107	285347	436085	262042	269909	231979	239948	258863	213321	268502
Gemsp	258801	181421	262182	130369	118924	137017	109733	142875	98635	141601
Minpol	399776	162064	334432	155118	197521	201792	149801	171904	178215	168565
Peraci	277920	235588	261745	77784	107198	123977	121132	136590	81941	123493
Extspi	673975	296123	509010	251019	339575	277813	280727	316093	281845	375393
Proala	210007	54546	178895	114691	151608	115272	85129	87900	159740	99166
CCMP2436	328986	190692	255085	105566	149935	142388	124051	157124	94572	152371
Lotglo	307871	327063	323721	145567	216379	179316	159522	209316	154277	197618
Lanabb	42980	39101	56523	29045	48142	34702	26919	32299	39133	34150
Guithe	136558	113924	159462	68143	81914	85636	72719	99687	70252	95799
Gymsp	93645	39600	89464	48533	68711	53454	44979	48472	66165	49724
Emihux	948582	596379	763768	225727	297648	432402	425275	585429	193941	550461
RCC7011	5270	3300	4931	2525	2893	3355	3036	3529	1889	3627
Astrad	150194	70219	184667	89038	142069	123192	90695	101998	152801	104703
Palbil	213071	202341	203668	95132	144072	114403	99891	135110	92312	137188
Entsp	90935	25800	125028	74373	125790	76914	56543	58397	99899	60325
Coswai	196976	38364	131338	107869	109808	80802	62006	64774	109320	66660
Gamaus	139632	102476	153431	57213	68316	75400	75984	84709	55572	81915
CCMP2135	82780	56771	88709	29726	43838	50559	42057	45108	32479	43693
Rhosal	161054	79325	124697	55807	58020	63713	60007	71514	41863	68316
Hettri	243691	164231	293466	56221	81543	87502	91038	100171	51929	91709
Pessp	69246	59417	107728	54654	90060	57904	48621	56897	76199	60535
Biglon	114702	92206	120422	58180	86768	72022	60483	73304	68001	75947
Aletam	610263	405231	671723	250583	286692	350906	305622	357601	199415	332873
Myrrub	227248	62736	201651	91337	102861	92114	73811	79343	108513	83619
Prypar	348353	137459	287200	99479	120568	160858	138544	156878	89921	142882
Ammsp	114825	55235	114880	56888	79737	64202	52843	149982	80402	61943
Chrrho	70658	49899	76508	24423	32546	48452	38836	40246	25683	39220
Rholen	95507	79814	111137	49778	52158	58851	51871	64549	39728	62294
Tetast	106216	87032	145707	63732	73301	78892	68392	88570	55448	86823
Parban	102825	33368	96423	52585	72258	61375	52152	53546	79839	56639
Pelbei	381835	290222	391202	118605	123523	223525	224702	242618	156645	231530
Tetchu	88607	86052	97863	46994	61142	60058	51165	67178	41393	59374
Corhys	179707	48464	143458	122954	122604	97607	77625	81292	120529	82229
Phapar	424343	583823	526006	181878	337252	347435	259790	357949	207636	367971
Glowit	245732	215264	292145	171930	212665	177158	143286	174923	148061	181994
RCC7016	3017	2369	4146	1804	1847	2231	1981	2576	1280	2266
RCC1024	56610	30176	57758	17188	21788	32206	27771	31255	15224	28085
Pyrpar	113809	63172	120172	53620	75439	68525	62058	69414	67404	68103
Plamac	110389	43239	107145	56181	69130	60694	52042	59523	72178	62220
Manant	111005	67433	101156	38818	43401	53901	50214	56632	36462	53718
Cycmen	3094234	273977	421000	250054	407094	181863	113618	129122	226273	132783
Kryfol	627416	408864	661925	288639	373490	286620	274567	307275	235426	289366
Strsp	258978	83490	181203	101302	110174	106717	85993	120250	111127	126901
Proret	170189	151706	208442	69517	83176	99203	101497	115076	61958	107011
Gepoce	177692	179640	210053	110249	76007	122788	98864	122215	48897	263718
Spuelo	166578	97381	191447	95236	62109	65566	64907	69188	53346	90420
Glefol	480512	315741	471399	194616	270384	205734	196986	228411	157482	208067
Thamin	546010	131711	392417	237895	276960	209254	156227	170616	237794	172570
Thapun	209256	49072	143252	78990	93472	81597	64137	67114	91101	77433
Isosp	234777	140641	221158	95426	97419	121224	103106	130009	61861	262375
Prasin	53986	32471	53647	18746	23787	32079	30565	31218	16363	28572
Comcoe	311825	236812	319011	103177	169835	223336	157157	140265	136703	149303
Psedel	303769	117449	286864	238271	224738	166975	120277	139326	188672	147414
RCC8568	2122	1379	2450	1394	1425	1417	1245	1390	1139	1308
Hemruf	111175	54734	111029	43358	47939	56861	51031	57877	40183	55117
Batpra	345751	279183	359125	157444	271279	163845	145848	173259	151375	179247
Craaus	98502	42027	92089	54714	108509	55604	43756	49755	56699	49602
Micpus	36788	20187	30897	13166	15613	17877	16629	17207	12725	16631
Poraer	76124	45884	65037	37156	45085	68788	33575	36078	54790	38752
Rhoabb	164314	92821	161116	72350	78555	84734	77896	90674	63848	88344
Thasp	556486	168852	391810	246761	251755	196422	148273	170207	222475	171253
Ostpra	227204	120512	226176	102930	133959	85954	80155	79543	86483	87356
Pseare	159831	61791	185676	136496	149236	105747	76680	86837	139118	90492
Fibjap	69123	22816	65410	53145	58866	38089	30670	33332	41741	33113
Corpen	251243	61703	179082	99249	139712	114377	85692	90533	134362	93591
Chabre	141098	42144	120746	90561	101800	54788	36596	41034	71480	41809
Isogal	481644	202470	288192	149494	100824	120931	96214	116777	69634	161637
Symkaw	17690	13698	22277	10587	14081	15182	14330	14924	14600	14806
Chreri	485621	365632	649650	87148	139080	500541	306806	726782	158862	740386
Lotoce	99260	103205	120958	52653	70686	69160	60928	76181	58615	75750
Symsp	1765315	869945	1493541	727372	799453	840553	885182	979517	758127	1255291
Pycpro	104893	79270	88631	35367	56305	52199	46513	53845	36669	53345
Polpar	301476	291549	386996	155821	253458	208097	169876	222213	208127	233478
Azaspi	400214	239166	321914	116128	144920	158432	165303	179033	115147	168554
Micsp	682369	257859	515293	161046	217853	260593	188781	259418	148225	327701
Graoce	120104	44287	161651	98062	131444	84574	72210	80052	119937	85172
Chrvel	212600	234460	234071	118528	161998	151459	126505	163631	104329	155387
CCMP1999	50697	38398	49120	24146	32051	28784	25663	32421	23460	29621
RCC2288	104425	101761	145632	53712	57858	85779	71457	91348	44867	81897
Gonspi	154947	114175	131672	42105	72531	63062	66950	73638	40371	74809
Psefra	384721	245567	324023	191952	227501	185850	152749	183217	182635	175624
RCC8562	2546	1628	2693	1197	1246	1530	1335	1460	991	1500
Thawei	364591	114467	286717	243722	226965	160923	117702	132159	195397	133189
Skemar	8604705	15646656	2580645	1147870	881834	1101196	525677	601765	1377743	676509
Acasp	167335	64739	118670	95067	69966	86688	106631	148785	62412	131179
Filnol	53691	26423	79229	41751	66774	45478	39160	41796	64057	44925
Pelcal	180674	74790	151819	47270	60929	76013	77677	93852	50802	543058
RCC8564	2268	1992	3147	1127	1357	1823	1428	1782	1247	1728
Sarsp	44351	15862	36329	26673	18740	20649	15480	17881	13185	16893
Phasp	76731	58827	107947	28077	33052	61374	49836	58447	23031	52635
Ditbri	765723	370135	937166	783361	756957	562027	414261	483642	727527	458711
Stetur	422913	100197	226380	161236	160604	121357	99183	111921	143303	111673
Debhan	109245	46316	96911	49220	64625	56813	42929	46922	62569	49828
RCC9983	11155	4522	7600	4800	4692	3648	3186	3903	3114	3900
Parglo	439600	396344	475671	172876	275314	302854	233382	238308	200391	251174
RCC9985	25256	14874	22150	8730	11915	13830	10341	10115	8942	10698
RCC8566	1593	1325	2458	906	1138	1467	1268	1518	1022	1472
RCC9987	41758	6583	15871	13327	8957	6711	6747	8403	5020	8552
Permar	12537	7412	12617	9133	7698	6461	5942	6671	6689	6808
RCC9989	27632	6245	11351	7017	6634	5466	5130	6206	3865	6564
RCC9988	23028	5907	10848	6298	7272	6009	5872	6815	4481	6761
Chaneo	830520	545974	839607	735343	743405	453876	333138	408742	555669	548993
Tharot	865511	506129	491449	401834	382647	269329	290508	309963	309929	376206
Bignat	1155064	2224548	1334816	590505	1664971	833381	656049	1190309	628423	1166270
Mespul	375248	276952	349689	150204	160426	191534	155912	169840	146408	165370
Tiafus	320327	159905	335345	186619	219348	185562	152925	173576	196869	174858
Chadic	169605	47065	149109	87197	118927	78787	61486	67227	106986	70200
Callep	109264	120149	142464	53400	62833	85726	69527	91280	43912	77376
Ampmas	171176	139378	202658	81621	101075	113180	105198	194730	91748	110645
Perche	8789	5295	9887	5084	6446	5298	4926	5831	6601	5986
Neppyr	125301	97332	131260	46841	55829	89462	67452	74678	50315	71475
Cylclo	208180	59029	272429	203189	240072	157468	125493	135230	226390	137839
Skemen	469961	349468	555446	340419	310733	252439	145907	156439	325808	174133
Chasub	218083	78957	206411	126241	171100	139544	98299	101219	160707	108680
Amppal	150644	60452	226966	153926	197408	113617	99271	107597	147011	108580
Aurlim	291298	133081	233252	107981	135550	127008	113562	141974	117102	140886
Picokl	60433	17747	50916	25661	39023	30470	26207	27461	32651	26884
Aulsub	98242	27818	119554	76505	105893	69123	51341	52860	95400	57010
Linpol	511010	313846	401883	121720	156624	193193	318192	237516	170256	236515
Amosp	83500	31501	65189	27281	33703	34025	34543	35444	30562	34054
Maysp	406264	355736	436953	139433	231280	293290	211967	202521	179830	217231
Pelsub	754410	207587	215760	57293	142602	91399	212353	292020	81958	448664
Scyaps	110637	90425	126650	56604	69114	72026	61449	74127	55951	70147
Vitbra	67775	46531	77068	37083	37902	49471	37930	44600	36031	44242
Karbre	878897	597573	980623	395188	474343	465843	478683	537359	434677	542237
Proine	161525	30334	98861	69393	81997	63434	54903	59651	86034	61839
Gonsp	124138	80664	107993	50439	61178	61690	56693	70661	41729	67205
Prosul	136131	84487	149579	60810	77901	88975	68893	70206	69174	72339
Rhosp	98810	72630	100091	40235	46065	85944	45712	46151	40527	98369
Chrrot	191419	164622	247578	100053	74423	140457	98280	106598	64166	104701
Promin	1228019	1834701	9327860	1027963	363883	3528151	2753080	3876026	1678940	3220500
Crycur	97010	56578	106629	47802	52095	58727	52012	58482	50673	58515
Tridub	116069	57431	102164	80342	75531	62066	55773	69735	60800	64514
Struni	202509	86154	260806	230575	237030	140572	108296	121785	189530	124982
Dinacu	908768	183259	374324	97707	85855	101173	182913	208590	103642	165562
Urosp	60014	23324	70558	41785	44347	41839	27011	31672	56308	36713
Aurlag	479909	137324	242658	128497	192876	131806	104912	168560	150149	243675
Unaligned	24653949	22353769	40152626	21691482	27363806	27633398	18611535	22285626	27784295	22801707
