gID	S1	S2	S3	S4	S5
K02438	0.000000	0.044565	0.023615	0.000000	0.000000
K05359	0.089947	0.074275	0.094462	0.026625	0.044630
K06892	4.463618	26.961932	4.900207	6.203666	4.820073
K03747	0.033730	0.014855	0.011808	0.000000	0.000000
K03210	0.022487	0.000000	0.070846	0.000000	0.000000
K03217	63.390121	25.045630	44.007401	40.656644	35.235626
K03215	0.213624	0.118840	0.460501	0.372752	0.423988
K03742	0.382275	0.386232	0.401463	0.346127	0.758715
K03218	0.449735	0.103985	0.330616	0.213001	0.423988
K04505	8.499988	25.847803	7.863947	13.658715	13.456037
K06897	0.089947	0.133696	0.968234	0.878631	1.004182
K17623	1.832669	1.158695	2.562277	3.061895	3.905152
K09478	2.282404	21.792372	3.707626	4.845782	6.047406
K06895	0.000000	0.000000	0.000000	0.000000	0.000000
K09471	1.427908	1.455796	1.275235	0.505878	0.200836
K09472	0.011243	0.014855	0.011808	0.000000	0.022315
K10956	134.110919	131.808939	93.552626	195.961296	161.472447
K13966	0.123677	0.118840	0.519540	0.239627	0.401673
K13960	0.753306	2.109418	0.944618	0.798755	0.870291
K13963	7.724195	43.064816	7.308983	4.020402	9.907928
K10950	0.989417	0.817028	1.310658	1.065007	1.584376
K00736	0.775793	0.564492	1.015465	0.931881	1.182703
K04974	0.011243	0.000000	0.000000	0.000000	0.000000
K04972	0.022487	0.029710	0.141693	0.053250	0.044630
K11703	0.101190	0.148551	0.991849	0.931881	1.361224
K11707	0.044973	0.029710	0.070846	0.079876	0.022315
K17662	6.251314	2.480795	4.593206	4.126902	4.172934
K11708	0.022487	0.044565	0.047231	0.053250	0.000000
K11709	0.033730	0.103985	0.082654	0.079876	0.044630
K12614	20.451690	87.184342	23.036877	32.109962	27.001335
K12616	16.617701	20.663387	13.342732	16.108232	14.928837
K12611	4.171290	11.378975	7.911178	5.591287	7.520207
K12613	7.353164	12.255424	5.006477	6.523168	6.292873
K12619	57.239997	44.238366	54.811472	31.231332	29.768414
K12618	29.817418	82.787244	43.192668	42.760033	44.563360
K07442	13.480801	4.159417	13.767810	6.549793	12.474170
K07115	0.134920	0.118840	0.236155	0.292877	0.334727
K07440	0.033730	0.000000	0.070846	0.106501	0.089261
K07117	0.067460	0.029710	0.011808	0.000000	0.066945
K07446	0.078704	0.044565	0.094462	0.000000	0.066945
K07447	2.316134	1.723187	2.951932	2.902144	2.945600
K07112	4.576052	37.197068	5.880248	4.978908	5.132485
K07448	0.000000	0.000000	0.023615	0.000000	0.022315
K07119	2.788356	4.307967	4.038243	5.218535	4.061358
K11830	0.168651	0.103985	0.165308	0.213001	0.334727
K11833	0.044973	0.089130	0.188924	0.186376	0.446303
K11835	47.874270	40.524601	41.374278	25.453668	33.004111
K16288	0.764549	0.564492	0.673040	0.639004	0.892606
K16289	0.000000	0.044565	0.035423	0.053250	0.200836
K11838	9.242050	3.386953	12.622461	7.694676	13.813080
K11839	69.382837	116.909315	57.196633	43.052910	56.814379
K16284	0.202381	0.059420	0.141693	0.266252	0.267782
K16282	0.000000	0.000000	0.000000	0.000000	0.000000
K16283	0.179894	0.029710	0.165308	0.079876	0.044630
K16280	0.528438	2.168839	0.188924	0.159751	0.245467
K16281	0.179894	0.059420	0.307001	0.532504	2.097624
K10615	0.044973	0.000000	0.023615	0.026625	0.022315
K10610	63.761152	48.353217	21.242102	12.300831	17.941383
K01848	0.011243	0.000000	0.035423	0.000000	0.066945
K01849	0.033730	0.148551	0.118077	0.186376	0.089261
K01845	158.385355	58.499223	62.946996	254.403558	33.115687
K01847	11.861755	32.443449	18.290170	24.521787	30.995747
K01840	0.202381	0.118840	0.271578	0.665629	0.290097
K01841	0.326058	0.252536	0.082654	0.106501	0.044630
K01843	0.011243	0.014855	0.129885	0.106501	0.089261
K15397	0.483465	0.386232	1.027272	0.825380	0.959552
K15396	0.146164	0.014855	0.106270	0.026625	0.066945
K15398	0.517195	0.401087	2.302507	2.902144	2.454667
K08483	0.550925	0.757608	2.267084	0.532504	2.075309
K08486	6.487425	13.532959	10.331762	9.877940	10.711273
K08489	3.035710	3.788040	7.651408	14.430845	17.249613
K08488	0.000000	0.014855	0.023615	0.000000	0.000000
K00464	1.967590	11.200715	0.968234	0.745505	1.115758
