gID	S1	S2	S3	S4	S5
K07787	0.281084	0.118840	0.247962	0.133126	0.312412
K08163	0.146164	0.118840	0.094462	0.079876	0.133891
K07783	0.528438	1.054709	2.479623	0.852006	1.963733
K07782	0.067460	0.014855	0.023615	0.026625	0.044630
K16943	0.033730	0.029710	0.070846	0.026625	0.022315
K16942	0.337301	0.490217	0.779310	0.532504	1.048812
K08517	9.343241	17.172448	12.905846	9.957816	15.018098
K12755	0.000000	0.014855	0.047231	0.213001	0.066945
K16944	1.124337	2.257969	1.405120	0.905256	1.182703
K12757	0.056217	0.103985	0.484117	0.665629	0.089261
K15296	9.152103	31.344174	17.475437	13.472339	20.976244
K15290	0.719576	0.802173	2.845662	1.171508	1.986049
K15292	7.634248	11.185859	9.694144	10.410444	12.161758
K15293	0.584655	0.653623	1.145350	1.144883	1.361224
K12021	0.067460	0.089130	0.129885	0.133126	0.133891
K00780	0.303571	0.178261	0.460501	0.346127	0.312412
K00781	0.022487	0.000000	0.023615	0.159751	0.000000
K00783	4.306211	2.332244	1.830198	1.837137	2.700134
K00784	62.569355	55.795601	46.510639	31.178081	52.953858
K00038	0.078704	0.074275	0.023615	0.079876	0.000000
K00787	17.865715	24.347441	29.448473	34.745855	30.281663
K00036	57.138807	115.572358	40.441467	20.102008	29.545262
K00789	682.360133	980.107071	543.663206	1046.582423	403.391020
K00034	0.472222	0.623912	2.869278	1.411134	1.941418
K00033	116.571261	250.604842	67.304048	49.789079	55.854828
K00030	0.472222	0.341666	0.956426	0.639004	0.647139
K00031	45.018454	57.191976	72.889103	40.976146	62.772525
K01259	3.069440	2.332244	4.734899	3.381397	4.931649
K01258	0.044973	0.000000	0.023615	0.000000	0.000000
K01255	24.836605	36.989096	25.445653	37.115496	28.898123
K01254	20.496664	18.657954	11.595189	10.570195	11.536934
K01256	34.359739	55.869876	48.789531	87.117576	54.917591
K01251	863.097307	1018.447978	712.738059	2087.440433	1143.450751
K01250	0.258598	0.371376	0.425078	0.798755	1.071127
K01253	0.494708	0.356521	0.909195	1.730636	6.181297
K11000	6.161367	5.511227	16.330087	14.803598	10.822849
K09008	0.191137	0.133696	0.200731	0.266252	0.223152
K17925	0.022487	0.044565	0.035423	0.000000	0.044630
K17920	0.089947	0.000000	0.047231	0.026625	0.044630
K17921	0.314814	0.163406	0.177116	0.292877	0.267782
K17922	0.022487	0.014855	0.011808	0.000000	0.000000
K17923	0.179894	1.901448	0.224347	0.266252	0.156206
K09001	0.663359	0.490217	0.366040	0.186376	0.446303
K09005	0.179894	0.267391	0.247962	0.186376	0.468618
K09007	0.022487	0.000000	0.011808	0.000000	0.000000
K08238	0.146164	0.118840	0.259770	0.346127	0.423988
K08239	0.472222	0.356521	0.389655	0.479253	0.758715
