,nCpds,nGenes,Km0_cpd,Km0_gene,Km1_cpd,Km1_gene,Km2_cpd,Km2_gene,Km3_cpd,Km3_gene,Km4_cpd,Km4_gene,Km5_cpd,Km5_gene
ko00550,27,40,0,0,0,0,0,1,1,1,0,2,0,0
ko00561,34,77,0,1,0,0,0,0,0,0,0,5,1,2
ko00562,44,62,2,0,0,0,0,1,0,0,0,5,0,1
ko00563,16,26,0,0,0,0,0,0,0,0,0,0,0,0
ko00564,52,109,1,1,0,0,0,2,0,0,0,10,0,0
ko00565,25,29,1,0,0,0,0,0,0,0,0,2,0,0
ko00590,75,45,28,4,1,0,1,5,35,2,14,10,0,0
ko00591,28,24,0,0,4,0,0,1,0,1,2,3,0,0
ko00592,42,23,7,0,0,0,8,2,7,0,4,2,8,0
ko00600,25,41,0,0,1,0,0,5,0,1,0,12,0,1
ko00601,52,25,0,0,0,1,0,1,0,0,0,0,0,0
ko00603,17,14,0,0,0,0,0,0,0,0,0,1,0,1
ko00604,31,14,0,0,0,0,0,0,0,0,0,1,0,0
ko00620,31,94,0,3,0,0,0,2,1,1,1,5,0,1
ko00621,58,25,3,0,0,0,0,1,0,0,1,2,0,0
ko00622,38,34,2,0,0,0,0,0,1,0,2,2,0,0
ko00623,43,43,5,0,0,0,0,0,0,0,1,0,0,0
ko00624,105,42,3,0,0,0,0,2,2,0,7,0,0,0
ko00625,40,29,0,1,0,0,0,2,0,0,0,2,0,0
ko00626,60,29,5,0,0,0,0,3,0,0,3,1,0,0
ko00627,85,70,4,0,0,0,0,3,6,0,6,5,0,1
ko00630,60,95,2,1,0,0,0,1,0,1,1,7,2,0
ko00633,27,21,0,0,0,0,0,0,0,0,0,0,0,1
ko00640,47,96,0,0,0,0,0,5,0,0,2,10,0,0
ko00642,14,17,0,0,0,0,0,0,0,0,0,0,0,0
ko00643,24,22,0,0,0,0,0,0,0,0,2,2,0,0
ko00650,41,86,3,1,0,1,0,4,0,2,1,12,0,1
ko00660,32,25,4,1,0,2,0,2,0,0,0,4,0,0
ko00670,9,33,0,0,0,0,0,0,0,0,0,3,0,0
ko00680,84,165,0,0,0,0,0,3,1,0,0,4,0,0
ko00710,23,36,0,1,0,0,0,1,0,1,0,2,0,0
ko00720,44,106,2,0,0,0,0,2,0,2,1,10,2,0
ko00730,30,24,0,0,0,0,0,0,1,0,0,2,0,1
ko00740,24,26,1,1,0,0,0,2,0,1,1,4,0,0
ko00750,28,23,2,0,0,0,0,1,0,0,0,5,0,2
ko00760,49,68,2,0,0,2,0,4,0,2,0,8,0,0
ko00770,28,36,1,4,0,0,0,3,2,1,1,8,0,1
ko00780,28,23,0,2,0,0,0,4,0,0,3,1,0,1
ko00785,6,4,0,0,0,0,0,1,0,0,0,1,0,0
ko00790,35,49,0,1,0,0,0,1,0,0,0,6,1,0
ko00791,21,14,0,0,0,0,0,0,0,0,0,0,0,0
ko00830,24,48,0,0,0,0,0,4,3,1,5,8,3,0
ko00860,124,107,0,2,0,1,0,3,1,1,1,6,0,2
ko00900,45,53,3,0,0,0,0,4,1,0,0,6,0,2
ko00901,47,10,2,0,0,0,0,0,0,0,0,1,0,0
ko00902,49,22,0,0,0,0,0,0,0,0,0,0,0,0
ko00903,64,14,0,0,0,0,0,1,1,0,1,1,0,0
ko00904,99,42,12,1,7,0,0,0,13,1,4,0,3,0
ko00905,29,10,0,0,0,0,0,0,0,0,0,0,0,0
ko00906,115,46,4,1,3,1,0,2,3,1,5,1,3,3
ko00908,39,8,2,1,0,0,0,0,1,0,2,0,0,0
ko00909,88,66,1,0,0,0,0,2,5,0,2,0,0,0
ko00910,19,57,0,1,0,0,0,5,0,1,0,2,0,1
ko00920,29,92,0,0,0,0,0,1,0,1,1,4,0,1
ko00930,26,22,2,0,0,0,2,0,1,0,2,2,0,0
ko00940,65,32,5,2,0,0,2,3,1,0,7,6,0,2
ko00941,68,19,0,1,0,0,1,0,0,0,0,2,0,1
ko00942,66,14,0,0,0,0,0,0,0,0,2,0,0,0
ko00943,63,13,1,0,0,0,0,0,0,0,0,0,0,0
ko00944,49,12,2,0,0,0,5,1,0,0,0,2,1,0
ko00945,25,13,3,0,1,0,0,1,2,0,2,2,1,0
ko00950,93,42,1,2,0,0,0,3,1,0,1,9,0,2
