RI593,C14627
RI594,C14627
RI595,C14632
RI596,C14632
RI597,C14646
RI598,C14649
RI599,C14649
RI600,C14651
RI601,C14654
RI602,C14661
RI603,C14666
RI604,C14671
RI605,C14671
RI606,C14675
RI607,C14677
RI608,C14681
RI609,C14682
RI610,C14709
RI611,C14709
RI612,C14748
RI613,C14749
RI614,C14768
RI615,C14769
RI616,C14770
RI617,C14771
RI618,C14776
RI619,C14777
RI620,C14778
RI621,C14779
RI622,C14780
RI623,C14781
RI624,C14781
RI625,C14781
RI626,C14785
RI627,C14800
RI628,C14800
RI629,C14800
RI630,C14800
RI631,C14802
RI632,C14802
RI633,C14802
RI634,C14802
RI635,C14808
RI636,C14808
RI637,C14808
RI638,C14810
RI639,C14810
RI640,C14810
RI641,C14812
RI642,C14812
RI643,C14812
RI644,C14813
RI645,C14813
RI646,C14813
RI647,C14820
RI648,C14820
RI649,C14820
RI650,C14821
RI651,C14821
RI652,C14821
RI653,C14822
RI654,C14823
RI655,C14823
RI656,C14823
RI657,C14824
RI658,C14827
RI659,C14828
RI660,C14829
RI661,C14831
RI662,C14832
RI663,C14834
RI664,C14836
RI665,C14872
RI666,C14881
RI667,C14892
RI668,C14912
RI669,C14912
RI670,C14916
RI671,C14926
RI672,C14935
RI673,C14939
RI674,C14939
RI675,C14961
RI676,C14962
RI677,C14972
RI678,C14984
RI679,C14988
RI680,C14995
RI681,C14996
RI682,C15002
RI683,C15005
RI684,C15006
RI685,C15007
RI686,C15012
RI687,C15014
RI688,C15015
RI689,C15029
RI690,C15034
RI691,C15035
RI692,C15041
RI693,C15082
RI694,C15090
RI695,C15096
RI696,C15097
RI697,C15108
RI698,C15114
RI699,C15114
RI700,C15117
RI701,C15129
RI702,C15129
RI703,C15130
RI704,C15132
RI705,C15135
RI706,C15135
RI707,C15136
RI708,C15138
RI709,C15142
RI710,C15142
RI711,C15144
RI712,C15144
RI713,C15154
RI714,C15156
RI715,C15157
RI716,C15158
RI717,C15167
RI718,C15185
RI719,C15187
RI720,C15190
RI721,C15195
RI722,C15196
RI723,C15199
RI724,C15204
RI725,C15208
RI726,C15208
RI727,C15219
RI728,C15219
RI729,C15254
RI730,C15257
RI731,C15258
RI732,C15260
RI733,C15261
RI734,C15261
RI735,C15277
RI736,C15277
RI737,C15284
RI738,C15286
RI739,C15286
RI740,C15291
RI741,C15301
RI742,C15301
RI743,C15303
RI744,C15304
RI745,C15306
RI746,C15306
RI747,C15314
RI748,C15314
RI749,C15332
RI750,C15332
RI751,C15334
RI752,C15335
RI753,C15339
RI754,C15342
RI755,C15346
RI756,C15349
RI757,C15356
RI758,C15363
RI759,C15364
RI760,C15365
RI761,C15368
RI762,C15372
RI763,C15375
RI764,C15375
RI765,C15377
RI766,C15382
RI767,C15385
RI768,C15388
RI769,C15395
RI770,C15402
RI771,C15403
RI772,C15409
RI773,C15416
RI774,C15416
RI775,C15440
RI776,C15443
RI777,C15465
RI778,C15467
RI779,C15467
RI780,C15468
RI781,C15513
RI782,C15536
RI783,C15570
RI784,C15652
RI785,C15682
RI786,C15685
RI787,C15687
RI788,C15714
RI789,C15715
RI790,C15739
RI791,C15760
RI792,C15760
RI793,C15818
RI794,C15818
RI795,C15818
RI796,C15818
RI797,C15932
RI798,C15967
RI799,C15967
RI800,C15998
RI801,C15999
RI802,C16015
RI803,C16143
RI804,C16204
RI805,C16206
RI806,C16208
RI807,C16213
RI808,C16274
RI809,C16284
RI810,C16287
RI811,C16417
RI812,C16434
RI813,C16439
RI814,C16440
RI815,C16503
RI816,C16503
RI817,C16504
RI818,C16512
RI819,C16536
RI820,C16647
RI821,C16648
RI822,C16653
RI823,C16654
RI824,C16705
RI825,C16706
RI826,C16715
RI827,C16715
RI828,C16715
RI829,C16715
RI830,C16745
RI831,C16779
RI832,C16780
RI833,C16788
RI834,C16810
RI835,C16813
RI836,C16825
RI837,C16919
RI838,C16928
RI839,C16947
RI840,C16959
RI841,C16966
RI842,C16970
RI843,C16987
RI844,C17012
RI845,C17041
RI846,C17124
RI847,C17158
RI848,C17235
RI849,C17235
RI850,C17425
RI851,C17434
RI852,C17488
RI853,C17494
RI854,C17496
RI855,C17499
RI856,C17501
RI857,C17502
RI858,C17506
RI859,C17515
RI860,C17603
RI861,C17603
RI862,C17605
RI863,C17606
RI864,C17606
RI865,C17607
RI866,C17608
RI867,C17608
RI868,C17610
RI869,C17610
RI870,C17612
