,S1,S2,S3,S4,S5
K00051,0.755640101414,0.469788664085,1.54034654561,1.26302487994,0.971199808952
K00052,2.94198863974,0.211139612278,0.950342256312,0.407630214419,0.488899277253
K00053,1.81205624576,0.211115218657,1.69595807653,0.513237270392,0.76763318866
K00054,0.731064631592,0.991250122104,1.49500387894,0.865546413665,0.917134953695
K00057,0.614936121832,0.64920444859,1.59132720268,0.92307058979,1.22146163711
K00058,1.89292695816,0.903562956687,1.12812730334,0.425310961709,0.650071820101
K00059,0.744098494922,0.54918065512,0.887027271029,2.29019224983,0.529501329102
K00060,0.676990099228,1.55517730484,1.05576927299,0.598152754004,1.11391056894
K00061,0.402483227158,0.249250212454,1.637788873,1.16152081945,1.54895686794
K00063,0.249006526721,0.328970685979,1.56891857125,2.35849687558,0.49460734047
K00064,0.554924944133,0.896047211366,1.35971990457,0.817606523465,1.37170141647
K00065,1.5095138423,0.678899821468,0.539631940532,0.836558874018,1.43539552168
K00066,1.98552884222,0.0,1.0425205567,0.0,1.97195060108
K00067,0.697069504863,0.981864702221,1.72236652657,0.570426399693,1.02827286665
K00068,1.39188985878,0.817276144309,1.13683863374,0.732414511002,0.921580852175
K00069,0.301554324868,0.796786609717,0.79166964476,0.71405250134,2.39593691932
K00070,0.418279779223,0.345376955863,1.81187922679,0.866641549253,1.55782248887
K00072,0.635701766074,0.536706603431,1.52077815552,1.19353757239,1.11327590259
K00073,0.167795062659,0.073893186113,1.82078236988,0.99330762589,1.94422175546
K00074,0.753310285287,0.987417244795,1.23778448626,0.710009798545,1.31147818511
K00075,3.185381069,0.0,0.557504743782,1.25711418721,0.0
K00076,1.68692251872,1.02860706656,1.36266846698,0.921801947742,0.0
K00077,0.316903159488,0.577409031573,1.62134580143,0.921103560856,1.56323844666
K00078,2.45447376553,0.5210158019,0.625547887599,0.876365933436,0.522596611535
K00079,0.459593367597,1.21436773084,2.41313811844,0.0,0.912900783118
