cNumber,S1,S2,S3,S4,S5
C10683,0.00324232240977257,0.00401631430680823,0.00352145895204269,0.00271089613185046,0.00188512900266902
C10689,0.0534582987399994,0.0745968316403396,0.0632162040721727,0.0422096559568065,0.0414153656585339
C10846,0.00152415110000427,0.00147031535195626,0.00174893275943863,0.00125826181540545,0.0012785921282342
C10861,0.00299868141097141,0.00130338223568956,0.00248598152416778,0.00280145961461476,0.00313691195162489
C10861,0.000185678408818824,0.0009801251665659,0.000670609958500417,0.000443644723460291,0.00072476166812409
C10865,0.000114575004706821,0.000458723507414061,0.000257889228996798,0.00016465817883688,0.000442648234924826
C10869,0.00608451190681361,0.0462141567049019,0.00532129865116289,0.00335023922886983,0.00643753762193552
C11606,0.00109907371909979,0.000985729446977821,0.00130589162927025,0.000812081504266328,0.00079505332373986
C11844,0.00271672998658747,0.0480087542713008,0.00213684072437492,0.00130012976587362,0.00331763628292237
C11998,0.000721908415095802,0.00020405396387781,0,0,0
C12262,0.000780965427314803,0.00122440162146512,0.000813845347371615,0.000695984160753376,0.000755042488287814
C12280,0.000554909355918353,0.00451645067428811,0.000704195811519363,0.000599915672558146,0.000448678150933915
C12333,0.029323318758748,0.0372016669219692,0.0506575399662707,0.045192048807154,0.0268790516793381
C12889,0.00063830937874755,0.000905090833733687,0.000949771358662673,0.000726437192747999,0.000794102633135588
C12946,0.0170196188764157,0.0184594022841344,0.00144427846318782,0.00179012847471099,0.00315754996683745
C12946,6.69538918330993e-05,0.001282263954376,3.42815720868641e-05,3.20385452727775e-05,0.000122816700881768
C13829,0,0.000224806798461306,0,3.81141240840816e-05,0.0029971996119556
C13831,0.00179111011118787,0.00206873263089318,0.00192242028793931,0.00133958933316978,0.00129638139005515
C13831,0.00211525272845753,0.00212236882496388,0.000870731513202204,0.00181245161742525,0.00114150833998375
C13846,0.0164786681796114,0.0390354257101601,0.0162170198470654,0.00980492583513553,0.0123448783847712
C13929,0.000371942168278936,0.00136009325748022,5.7093383735304e-05,1.50295661006474e-05,0
C14235,0.00620576092659287,0.00855705352932934,0.00470026457899108,0.0028575700756768,0.00333853376662638
C14236,0.000275565429575654,0.00232696357525113,0.000755562840361437,0.000489297384741564,0.00195652603041054
C14240,0.0823562382934891,0.106241030446936,0.097654735466338,0.0773195147125663,0.071922923394179
C14308,0,0.0169954528338601,9.34305205248196e-06,0,0
C14446,0.0249082049411009,0.0123784018926733,0.0058917190613131,0.0018198404949977,0.00271409536740591
C14614,0.681913053471427,0.632155350221076,0.401603247915347,0.622767638168424,0.595918067727496
C14872,0.0397705596930203,0.107478380715537,0.115431859723818,0.0364712062093467,0.00973213382128424
C14926,0.000489769224208199,0,0.000116985668631476,0.00019878200941398,4.80655587365194e-05
C15117,0.000658360090461546,0.000719904429866003,0.000258748218347611,0.000187731947677497,0.00021584392241739
C15356,0.0127167298953294,0.0168755179102388,0.015635358080823,0.011195358102072,0.0108753669535165
C15465,0.00699582158826068,0.0206458177726665,0.00014877938663298,0.000149256075217362,0.00151544719015869
C15682,0.0042824950148347,0.049086597666824,0.0125798949667794,0.0070109214464508,0.0173162741202809
C15687,0.000795107271685136,0.000705973172125097,0.00163461844655979,0.00099442335945115,0.000801199275589934
C15714,0.000628723040564371,0.000297134413149447,0,1.26871919241073e-05,5.24070989936825e-05
C15715,0.000201579870621484,0.00161013052477335,0.000383792245368606,0.00027431762157457,0.000190121124259775
C15739,0.00179805234076315,0.000836768662068729,0.00119425867729566,0.000807968770011296,0.000799741235889534
C15760,0.00059581855770068,0.00137264160221201,0.00209401277974987,0.000385926730984432,0.000203898016150486
C15760,0.000294514972082966,0.000435110376589264,0.000561705155669247,0.000433328910916074,0.000400588170870681
C15967,0.000780913170841633,0.00172556316653032,1.96893578082297e-06,3.65936575945195e-06,0.000155751633110408
C15967,0.000825218903872724,0.00197073020619457,3.6132156506577e-06,2.29433953790287e-05,0.000171638720056304
C16503,0.0041149693350466,0.0118538625830913,0.000108970931285916,0.000288468345146004,0.00105475341042852
C16503,0.00134089823994738,0.00182894760317653,0.00152163569175176,0.00112385632094037,0.00100523361730261
C16928,0.002222595719612,0.0025511729908424,0.0029984183294097,0.00251015086454083,0.00153311597361502
C17158,0.000649062251388335,0.00297955270990455,0.000101129727569042,0.000148859194146866,0.000657289564332264
