RInumber,cNumber,S1,S2,S3,S4,S5
RI1116,C05961,0.000144359138459621,0.00141046763861383,0.000521033405093751,0.000338445001359331,0.00200251016862641
RI1117,C05963,0.000144359138459621,0.00141046763861383,0.000521033405093751,0.000338445001359331,0.00200251016862641
RI1118,C05994,0,3.73632696578027e-05,8.82410235014462e-07,6.41852784608601e-05,0.000280523135507502
RI1119,C05994,5.88308982744148e-05,5.12688417871336e-05,1.1051067620151e-05,7.96686229544588e-05,7.79830063834888e-05
RI1120,C06008,7.0796559739131e-05,5.90399686409334e-05,9.47897196401126e-05,5.66770862281792e-05,0.000206466580062967
RI1121,C06010,0.000346869952012186,0.00256153167748153,0.000663319117335978,0.00133197801024673,0.00383953520511931
RI1122,C06030,0.000203785546367881,0.000388220736610298,0.000402538796958531,0.000529947904598251,0.00052863812668883
RI1123,C06069,0.000631850316826235,0.00208793735310829,0,4.18118116007058e-05,8.19447675818023e-05
RI1124,C06088,0.000307269516485306,0.000544464673440871,0.000201136826166414,0.00019932435179904,0.000397247927004561
RI1125,C06088,0.000425661324286161,0.000419876428567334,0.000328556300041133,0.000307252829882304,0.000411196660379614
RI1126,C06102,7.0796559739131e-05,5.90399686409334e-05,9.47897196401126e-05,5.66770862281792e-05,0.000206466580062967
RI1127,C06152,9.56270155621611e-05,0.00240313022346395,0.000227868558312565,0.000299193891391861,0.000270323951953239
RI1128,C06153,9.56270155621611e-05,0.00240313022346395,0.000227868558312565,0.000299193891391861,0.000270323951953239
RI1129,C06158,0.00144649157142565,0.00639225648375367,0.00284195348906129,0.00361908084219387,0.00514538280429462
RI1130,C06158,0.0119029737047001,0.0534562284886151,0.0105260645977953,0.00926073544437918,0.0106744650540974
RI1131,C06159,0.00144649157142565,0.00639225648375367,0.00284195348906129,0.00361908084219387,0.00514538280429462
RI1132,C06159,0.0119029737047001,0.0534562284886151,0.0105260645977953,0.00926073544437918,0.0106744650540974
RI1133,C06162,0.000243159867366914,0.00634524607354587,0,0,0.000260986898301647
RI1134,C06202,4.6289555134763e-05,9.76795359081725e-05,8.35507516110947e-05,0.000144193736576625,0.000139613228908107
RI1135,C06316,0.000203785546367881,0.000388220736610298,0.000402538796958531,0.000529947904598251,0.00052863812668883
RI1136,C06336,0.000456992576908891,0.000878778761535659,0.000806129042389998,0.00138546178376301,0.000872914155286194
RI1137,C06337,0.000951076303087925,0.000759646717582394,0.00028073714039507,0.000601531870180243,0.00092935793097178
RI1138,C06438,0.00924297541447487,0.0136227467228404,0.000509943904000344,0.00132350015921957,0.00218626109698788
RI1139,C06438,0.000938436488880632,0.00515866199309804,0.00220912614229492,0.00175765948777671,0.0117819039596635
