cNumber,S1,S2,S3,S4,S5
C14749,0.000155642581753553,0.000666284699764683,3.84582572977279e-05,0.000197485199975828,0.000314118084576014
C14748,0.000155642581753553,0.000666284699764683,3.84582572977279e-05,0.000197485199975828,0.000314118084576014
C14732,0.00633993463473777,0.0345827933345904,0.00114744863060729,0.00338265797241545,0.00314674639371598
C14726,0.00199345161826421,0.00439745842167841,0.000123203352331418,0.000427228125789418,0.000375665813552137
C14718,0.00230598646360794,0.00622199462688074,0.000942631008481295,0.000652362405870719,0.00263982223013077
C14717,0.0174842449528445,0.0512519169392922,0.00307442526977183,0.00306734034529523,0.00409060045706146
C14716,0.0011697648192292,0.00151578305928481,0.00130544986910959,0.00137179407725711,0.00128382352438966
C14709,0.000478413554197791,0.000913949023970397,0.00035663409968083,0.00034065844495607,0.000377084856989455
C14684,0.00457665370124704,0.0227318691296979,0.00309450059110161,0.00277230768658364,0.00256841091310218
C14683,0.00633993463473777,0.0345827933345904,0.00114744863060729,0.00338265797241545,0.00314674639371598
C14682,0.000412928629464802,0.000752634237972614,0.000419615772595418,0.000321657569109042,0.000343730068525592
C14681,0.000217907497881598,0.00226296730737427,3.95860547368925e-05,0.000131168840979549,0.00220945015094257
C14677,0.000244206321860978,0.00102171957752403,7.43072482977565e-05,2.64264171453733e-05,0.00103128802184302
C14675,4.60644804311265e-05,0.000539701111110542,5.88761717447339e-05,7.64723924263557e-05,0.000196510567712057
C14671,0.000133458211649174,0.00133216726622403,0.000423802327333532,0.000114496351288737,0.000229161476775547
C14670,0.000615185523205933,0.00316408855868567,0.00104209579679735,0.00190928178271604,0.00231107005972577
C14666,0.000360115702766842,0.00612391776868253,0.000300674203109455,0.000330352359885361,0.000259367838318282
C14665,0.00633993463473777,0.0345827933345904,0.00114744863060729,0.00338265797241545,0.00314674639371598
C14661,0.00016480331606199,0.00191870997742792,1.76078464606066e-05,4.09204530124097e-05,0.000968832013239169
C14660,0.000675469159828951,0.00724300454215168,0.000271202737628462,0.000352193138559276,0.000929701539678354
C14654,0.000659704105343168,0.00292663670526981,0.000116485135505483,0.00014735922770615,0.00215724912099876
C14652,0.00457665370124704,0.0227318691296979,0.00309450059110161,0.00277230768658364,0.00256841091310218
C14651,7.09608911293149e-06,0.0016296311248173,0,0,3.44489620744858e-05
C14649,0.000133458211649174,0.00133216726622403,0.000423802327333532,0.000114496351288737,0.000229161476775547
C14646,0.000244206321860978,0.00102171957752403,7.43072482977565e-05,2.64264171453733e-05,0.00103128802184302
C14643,0.00130516050781637,0.0130247030341624,0.000201996359899889,0.000756931450407101,0.00107480394441292
C14637,0.00301038701713051,0.00535242364818928,0.0026233101876825,0.00160658059968341,0.00165653787529841
C14632,0.0036012933032391,0.0291183305868658,0.000207545593316517,0.000508750814131438,0.00103449239139945
C14628,0.00633993463473777,0.0345827933345904,0.00114744863060729,0.00338265797241545,0.00314674639371598
C14627,0.000133458211649174,0.00133216726622403,0.000423802327333532,0.000114496351288737,0.000229161476775547
C14615,0.0174842449528445,0.0512519169392922,0.00307442526977183,0.00306734034529523,0.00409060045706146
C14614,0.681913053471427,0.632155350221076,0.401603247915347,0.622767638168424,0.595918067727496
C14606,0,0.000718615387287097,5.06164147258541e-06,8.21039739067372e-06,9.09609379792816e-06
C14600,0.000133458211649174,0.00133216726622403,0.000423802327333532,0.000114496351288737,0.000229161476775547
C14598,0.000422694253812299,0.0101080426108082,0.00085588808205225,0.00155707930822869,0.00139438034344322
C14594,0.000358263933888643,0.00217773133216226,0.00456374892773331,0.000456456666250857,0.00022720337177524
C14588,0.000498208708449705,0.00250253070306672,0.000482271178330593,0.000270302293070866,0.000380282147344827
C14586,0.000295874843731115,0.000761709034520748,0.00022745341418264,0.000205029752078825,0.000603391437321275
C14579,0.00585431788585764,0.00923059532156484,0.00609316879463941,0.00464544654486176,0.00287320180508461
C14577,0.0654766187320159,0.0765226231177801,0.0778173743440735,0.0562047317491954,0.0418467620507653
C14570,0.0013469553453615,0.00246123099206796,0.00103957677886758,0.00125435245459755,0.00183180901472016
C14566,0.000597148966833104,0.00156152119524,0.000858513434268674,0.000869804316499946,0.0011571164410446
C14555,0.00633993463473777,0.0345827933345904,0.00114744863060729,0.00338265797241545,0.00314674639371598
C14553,0,0.000718615387287097,5.06164147258541e-06,8.21039739067372e-06,9.09609379792816e-06
C14552,0.000133458211649174,0.00133216726622403,0.000423802327333532,0.000114496351288737,0.000229161476775547
C14535,0.000478413554197791,0.000913949023970397,0.00035663409968083,0.00034065844495607,0.000377084856989455
C14530,7.0796559739131e-05,5.90399686409334e-05,9.47897196401126e-05,5.66770862281792e-05,0.000206466580062967
C14529,0.000888786069836455,0.0104122218726492,0.000512685806041059,0.000671103184179327,0.00144484301957999
C14523,0.000962756562924382,0.00133530260802434,0.00122408846350706,0.00139873443293511,0.00185392739269892
C14514,0.00045598208343643,0.000747274956012127,0.000632181897406922,0.000846039632139406,0.00116686271942613
C14504,0.0148610153119648,0.0494386232812915,0.00287228284398004,0.00573993520321565,0.00672749358886877
C14502,0.000169261002295064,0.000671617604897767,0,0,1.54228061462534e-05
C14500,0.00231932355602793,0.0100092940371795,0.00193202625472499,0.00191475500295946,0.00401974003954797
C14497,0.000133458211649174,0.00133216726622403,0.000423802327333532,0.000114496351288737,0.000229161476775547
C14491,0.000412928629464802,0.000752634237972614,0.000419615772595418,0.000321657569109042,0.000343730068525592
