gID	S1	S2	S3	S4	S5
K03595	1.619045	1.024999	3.778473	2.023513	2.700134
K03596	2.349864	2.569925	9.528836	3.008645	5.154800
K03592	0.022487	0.029710	0.000000	0.000000	0.022315
K03593	1.416665	1.604346	4.321628	1.863762	3.235697
K03599	0.067460	0.103985	0.106270	0.026625	0.111576
K05034	0.843253	0.906159	1.157157	1.038382	0.825661
K01736	3.080683	3.951446	7.828523	3.141771	6.426764
K01737	0.281084	0.430797	0.566771	0.319502	0.513249
K01734	0.618385	0.356521	0.720271	0.159751	0.557879
K01735	19.282380	16.593101	28.031546	14.004843	26.934390
K01733	5.644172	5.422096	15.361854	5.697788	10.488122
K05036	0.044973	0.089130	0.047231	0.053250	0.089261
K01738	5.576712	6.565936	7.320791	6.682919	5.556473
K01739	1.090607	0.876448	1.322466	1.011757	0.937236
K09507	0.044973	0.044565	0.035423	0.000000	0.133891
K09506	2.630949	2.688766	4.782130	3.408023	3.414218
K09500	8.792315	10.799628	12.610653	6.443293	11.157576
K09503	15.358444	21.584400	35.824646	16.294608	32.066875
K09502	1.023147	1.544926	6.742213	1.704011	4.306825
K09509	0.348544	0.415942	0.401463	0.292877	0.379358
K09508	0.348544	0.326811	0.531348	0.825380	0.870291
K07124	0.427248	0.401087	0.507732	0.426003	0.513249
K05343	0.303571	0.326811	0.342424	0.319502	0.245467
K17907	1.529098	1.515216	3.908358	1.464385	2.432352
K02427	1.045633	0.921014	2.361546	1.091632	1.852158
K08110	0.000000	0.014855	0.118077	0.292877	0.066945
K05345	0.000000	0.014855	0.000000	0.000000	0.000000
K02429	0.202381	0.341666	0.271578	0.239627	0.178521
K02428	0.022487	0.014855	0.011808	0.026625	0.022315
K03770	0.236111	0.386232	0.389655	0.133126	0.691770
K03771	0.011243	0.029710	0.000000	0.000000	0.000000
K03772	0.404761	0.148551	0.212539	0.159751	0.200836
K03773	17.708308	23.381863	28.763625	12.540458	31.442050
K03774	0.011243	0.014855	0.000000	0.026625	0.000000
K03775	0.663359	0.207971	0.578579	0.319502	0.379358
K03777	0.134920	0.029710	0.153500	0.079876	0.133891
