RInumber,cNumber,ChargedMass,RT,ionMode,S1,S2,S3,S4,S5
RI2249,C14812,337.237335964091,1490.2295,positive,4.59716269018409e-05,0.00028109631880551,8.53749731070823e-05,6.51007125922253e-05,0.000559064319939359
RI2250,C14813,337.237335964091,1297.74075,positive,0.000950911387605256,0.00757868776090195,0.00309556226345116,0.00189781153933281,0.0104122765368852
RI2251,C14813,337.237335964091,999.03490000002,positive,0.000571556091680396,0.00327715581947541,8.99440280062196e-06,3.38562397622636e-05,0.000295472102516608
RI2252,C14813,337.237335964091,1490.2295,positive,4.59716269018409e-05,0.00028109631880551,8.53749731070823e-05,6.51007125922253e-05,0.000559064319939359
RI2253,C14820,337.237335964091,1297.74075,positive,0.000950911387605256,0.00757868776090195,0.00309556226345116,0.00189781153933281,0.0104122765368852
RI2254,C14820,337.237335964091,999.03490000002,positive,0.000571556091680396,0.00327715581947541,8.99440280062196e-06,3.38562397622636e-05,0.000295472102516608
RI2255,C14820,337.237335964091,1490.2295,positive,4.59716269018409e-05,0.00028109631880551,8.53749731070823e-05,6.51007125922253e-05,0.000559064319939359
RI2256,C14821,337.237335964091,1297.74075,positive,0.000950911387605256,0.00757868776090195,0.00309556226345116,0.00189781153933281,0.0104122765368852
RI2257,C14821,337.237335964091,999.03490000002,positive,0.000571556091680396,0.00327715581947541,8.99440280062196e-06,3.38562397622636e-05,0.000295472102516608
RI2258,C14821,337.237335964091,1490.2295,positive,4.59716269018409e-05,0.00028109631880551,8.53749731070823e-05,6.51007125922253e-05,0.000559064319939359
RI2259,C14823,337.237335964091,1297.74075,positive,0.000950911387605256,0.00757868776090195,0.00309556226345116,0.00189781153933281,0.0104122765368852
RI2260,C14823,337.237335964091,999.03490000002,positive,0.000571556091680396,0.00327715581947541,8.99440280062196e-06,3.38562397622636e-05,0.000295472102516608
RI2261,C14823,337.237335964091,1490.2295,positive,4.59716269018409e-05,0.00028109631880551,8.53749731070823e-05,6.51007125922253e-05,0.000559064319939359
RI2262,C10991,339.195471150091,1347.49720000002,positive,5.32121141845719e-06,0.000706346932747829,0,1.00551046085174e-05,2.63879299202996e-06
RI2263,C15029,339.195471150091,1347.49720000002,positive,5.32121141845719e-06,0.000706346932747829,0,1.00551046085174e-05,2.63879299202996e-06
RI2264,C16810,339.195471150091,1347.49720000002,positive,5.32121141845719e-06,0.000706346932747829,0,1.00551046085174e-05,2.63879299202996e-06
RI2265,C09725,339.216600522091,1308.8973,positive,7.29389041493738e-06,0.00148202589467664,2.45257351903851e-05,1.73330719155739e-05,3.86713443793426e-05
RI2266,C07818,340.190720123091,1370.90459999998,positive,0.000310730561271117,0.000488229654244933,0,7.46474206364628e-05,0
RI2267,C08027,340.190720123091,1370.90459999998,positive,0.000310730561271117,0.000488229654244933,0,7.46474206364628e-05,0
RI2268,C15014,340.190720123091,1370.90459999998,positive,0.000310730561271117,0.000488229654244933,0,7.46474206364628e-05,0
RI2269,C03712,341.149583590091,1198.20265,positive,0.00125110060444885,0.000887512640881981,0.000806122803188374,0.000766251134301195,0.000700572715857924
RI2270,C14348,341.174735708091,1408.1023,positive,0.00233481554138935,0.00647574060469652,0.00251989627913813,0.00106925030907192,0.00116483560635783
RI2271,C14637,341.174735708091,1408.1023,positive,0.00233481554138935,0.00647574060469652,0.00251989627913813,0.00106925030907192,0.00116483560635783
RI2272,C08152,341.211121214091,795.57830000002,positive,0.00222996673819282,0.00111292175777187,0.00476077224596058,0.00492119864254507,0.0044201421211713
RI2273,C15090,341.211121214091,795.57830000002,positive,0.00222996673819282,0.00111292175777187,0.00476077224596058,0.00492119864254507,0.0044201421211713
RI2274,C07120,343.226771278091,1180.2562,positive,0.00345861165736474,0.0195595259988893,0.000127667320819013,0.000292472127802945,0.000819011348442471
RI2275,C07120,343.226771278091,1049.68414999999,positive,0.00374397494911347,0.0386771351748424,0.000287423865814021,0.00072502950045993,0.00124997343435643
RI2276,C14632,343.226771278091,1180.2562,positive,0.00345861165736474,0.0195595259988893,0.000127667320819013,0.000292472127802945,0.000819011348442471
RI2277,C14632,343.226771278091,1049.68414999999,positive,0.00374397494911347,0.0386771351748424,0.000287423865814021,0.00072502950045993,0.00124997343435643
RI2278,C15301,343.226771278091,1180.2562,positive,0.00345861165736474,0.0195595259988893,0.000127667320819013,0.000292472127802945,0.000819011348442471
RI2279,C15301,343.226771278091,1049.68414999999,positive,0.00374397494911347,0.0386771351748424,0.000287423865814021,0.00072502950045993,0.00124997343435643
RI2280,C15467,343.226771278091,1180.2562,positive,0.00345861165736474,0.0195595259988893,0.000127667320819013,0.000292472127802945,0.000819011348442471
RI2281,C15467,343.226771278091,1049.68414999999,positive,0.00374397494911347,0.0386771351748424,0.000287423865814021,0.00072502950045993,0.00124997343435643
RI2282,C07120,343.226771278091,1180.2562,positive,0.00345861165736474,0.0195595259988893,0.000127667320819013,0.000292472127802945,0.000819011348442471
RI2283,C07120,343.226771278091,1049.68414999999,positive,0.00374397494911347,0.0386771351748424,0.000287423865814021,0.00072502950045993,0.00124997343435643
RI2284,C14632,343.226771278091,1180.2562,positive,0.00345861165736474,0.0195595259988893,0.000127667320819013,0.000292472127802945,0.000819011348442471
RI2285,C14632,343.226771278091,1049.68414999999,positive,0.00374397494911347,0.0386771351748424,0.000287423865814021,0.00072502950045993,0.00124997343435643
RI2286,C15301,343.226771278091,1180.2562,positive,0.00345861165736474,0.0195595259988893,0.000127667320819013,0.000292472127802945,0.000819011348442471
RI2287,C15301,343.226771278091,1049.68414999999,positive,0.00374397494911347,0.0386771351748424,0.000287423865814021,0.00072502950045993,0.00124997343435643
RI2288,C15467,343.226771278091,1180.2562,positive,0.00345861165736474,0.0195595259988893,0.000127667320819013,0.000292472127802945,0.000819011348442471
RI2289,C15467,343.226771278091,1049.68414999999,positive,0.00374397494911347,0.0386771351748424,0.000287423865814021,0.00072502950045993,0.00124997343435643
RI2290,C05490,345.206035836091,1446.45430000002,positive,0,0.000797552272946646,0,0,3.75058772114013e-05
RI2291,C05490,345.206035836091,1176.1331,positive,3.99088512599858e-05,0.000412177970870012,4.07860337456433e-05,0.000287308531696505,0.00216877082539555
RI2292,C14478,345.206035836091,1446.45430000002,positive,0,0.000797552272946646,0,0,3.75058772114013e-05
RI2293,C14478,345.206035836091,1176.1331,positive,3.99088512599858e-05,0.000412177970870012,4.07860337456433e-05,0.000287308531696505,0.00216877082539555
RI2294,C15135,345.206035836091,1446.45430000002,positive,0,0.000797552272946646,0,0,3.75058772114013e-05
RI2295,C15135,345.206035836091,1176.1331,positive,3.99088512599858e-05,0.000412177970870012,4.07860337456433e-05,0.000287308531696505,0.00216877082539555
RI2296,C15208,345.206035836091,1446.45430000002,positive,0,0.000797552272946646,0,0,3.75058772114013e-05
RI2297,C15208,345.206035836091,1176.1331,positive,3.99088512599858e-05,0.000412177970870012,4.07860337456433e-05,0.000287308531696505,0.00216877082539555
RI2298,C05490,345.206035836091,1446.45430000002,positive,0,0.000797552272946646,0,0,3.75058772114013e-05
RI2299,C05490,345.206035836091,1176.1331,positive,3.99088512599858e-05,0.000412177970870012,4.07860337456433e-05,0.000287308531696505,0.00216877082539555
RI2300,C14478,345.206035836091,1446.45430000002,positive,0,0.000797552272946646,0,0,3.75058772114013e-05
RI2301,C14478,345.206035836091,1176.1331,positive,3.99088512599858e-05,0.000412177970870012,4.07860337456433e-05,0.000287308531696505,0.00216877082539555
RI2302,C15135,345.206035836091,1446.45430000002,positive,0,0.000797552272946646,0,0,3.75058772114013e-05
RI2303,C15135,345.206035836091,1176.1331,positive,3.99088512599858e-05,0.000412177970870012,4.07860337456433e-05,0.000287308531696505,0.00216877082539555
RI2304,C15208,345.206035836091,1446.45430000002,positive,0,0.000797552272946646,0,0,3.75058772114013e-05
RI2305,C15208,345.206035836091,1176.1331,positive,3.99088512599858e-05,0.000412177970870012,4.07860337456433e-05,0.000287308531696505,0.00216877082539555
RI2306,C02140,347.221685900091,1189.08595000002,positive,0.000388735899314972,0.00766540827170972,0.000120277510240821,0.000139887347080689,0.000897865772329914
RI2307,C02942,347.221685900091,1189.08595000002,positive,0.000388735899314972,0.00766540827170972,0.000120277510240821,0.000139887347080689,0.000897865772329914
RI2308,C05477,347.221685900091,1189.08595000002,positive,0.000388735899314972,0.00766540827170972,0.000120277510240821,0.000139887347080689,0.000897865772329914
RI2309,C05488,347.221685900091,1189.08595000002,positive,0.000388735899314972,0.00766540827170972,0.000120277510240821,0.000139887347080689,0.000897865772329914
RI2310,C05497,347.221685900091,1189.08595000002,positive,0.000388735899314972,0.00766540827170972,0.000120277510240821,0.000139887347080689,0.000897865772329914
RI2311,C06391,347.221685900091,1189.08595000002,positive,0.000388735899314972,0.00766540827170972,0.000120277510240821,0.000139887347080689,0.000897865772329914
RI2312,C15002,347.221685900091,1189.08595000002,positive,0.000388735899314972,0.00766540827170972,0.000120277510240821,0.000139887347080689,0.000897865772329914
RI2313,C15015,347.221685900091,1189.08595000002,positive,0.000388735899314972,0.00766540827170972,0.000120277510240821,0.000139887347080689,0.000897865772329914
RI2314,C15304,347.221685900091,1189.08595000002,positive,0.000388735899314972,0.00766540827170972,0.000120277510240821,0.000139887347080689,0.000897865772329914
RI2315,C15363,347.221685900091,1189.08595000002,positive,0.000388735899314972,0.00766540827170972,0.000120277510240821,0.000139887347080689,0.000897865772329914
RI2316,C15365,347.221685900091,1189.08595000002,positive,0.000388735899314972,0.00766540827170972,0.000120277510240821,0.000139887347080689,0.000897865772329914
