,S1,S2,S3,S4,S5
K14441,0.766241320952,0.313356039352,1.7626820795,0.691245742621,1.46647481758
K13645,0.0,0.0,1.53617984545,3.46382015455,0.0
K01131,0.694214620894,1.83440355643,1.09357248703,0.0,1.37780933564
K15429,1.27835008999,1.11807581673,1.06929227471,0.673309745695,0.860972072882
K03465,0.856263232449,1.13132682436,1.5736904635,1.01385313695,0.424866342741
K01648,0.848687389979,0.566098168176,0.932390204032,1.2341476218,1.41867661601
K01649,2.19854218594,0.432166029632,1.24432113473,0.502030925262,0.622939724436
K01647,1.57635594538,1.27295576269,0.91530821931,0.233968946824,1.00141112579
K01644,0.273109492473,2.43566910717,0.528820768309,1.0509593158,0.71144131624
K03517,1.3691019519,0.263057738689,1.41164427018,0.708379630203,1.24781640903
K09759,1.69348716713,0.894987347873,1.06708639595,0.0,1.34443908905
K09755,0.207427427612,0.137027368576,1.41593410141,2.21039766071,1.02921344169
K09753,2.40239483086,0.634818208236,1.00917078341,0.0,0.953616177501
K17744,0.0,0.0,0.0,0.0,5.0
K03644,0.545899829821,1.51170384473,0.630660770743,1.21206246466,1.09967309004
K11423,0.795599587731,2.00492606865,0.76272849606,0.820847994438,0.615897853124
K11422,0.649533618077,0.784246462663,0.916162066241,1.04357300349,1.60648484953
K11420,0.591651741521,0.321878581029,0.657900194579,1.97799394905,1.45057553382
K11427,0.0,0.0,5.0,0.0,0.0
K10777,0.256268633548,0.460301241995,1.74298780648,1.20116001937,1.33928229861
K11358,1.74133359991,0.627464825419,0.581871275042,1.49949735513,0.549832944499
K01903,0.479930740527,0.259404821776,1.69534368966,1.13651427099,1.42880647705
K01902,1.11326843847,1.25603327278,1.20855810232,0.503564114454,0.918576071971
K01904,0.467148634425,0.617209572877,1.14472882389,1.84374826879,0.927164700017
K01907,0.875313351499,1.15648112106,2.2061969638,0.41455819385,0.347450369794
K01909,1.5123661603,0.333029933461,0.661789102714,1.49225657765,1.00055822587
K01908,0.464086280757,2.9357542296,0.609226108746,0.474564866637,0.51636851426
K05929,0.481708687591,0.734361539237,1.84843399526,1.05297398198,0.882521795931
K05928,0.652775032453,0.617446469255,0.74318859749,1.69689103788,1.28969886292
K00698,0.685888932518,2.47241001981,0.487164929448,0.452407126335,0.90212899189
K00699,0.879100033927,0.757493654861,0.762664271616,1.5387021174,1.06203992219
K00690,3.50247056288,0.0873121608119,1.0872886503,0.104327893262,0.218600732744
K01830,1.26402818721,2.74243036462,0.560334482917,0.163844706003,0.269362259249
K17726,0.913786237332,1.20730151248,2.87891225019,0.0,0.0
K04069,0.297155573881,0.0,0.936239606295,1.40741210612,2.3591927137
K02906,1.33069706446,1.5007381785,0.873176110444,0.609015590904,0.686373055686
K00234,0.398302994386,1.12595449603,1.45986441225,0.76753569397,1.24834240336
K00235,0.323365941085,1.2516131988,1.09941744655,0.533202401235,1.79240101233
K00236,1.32390098535,1.85023896284,0.495721193136,0.385501281178,0.944637577501
K00239,0.87434658506,0.66011943292,1.04940957507,0.887364891788,1.52875951516
K14589,1.06978801762,0.866785566858,1.10188025329,0.822794705328,1.13875145691
K01015,0.0425809391003,0.0562595201864,0.827297096471,1.41170493425,2.66215750999
K00832,1.17354455068,0.664502603437,0.704254963826,0.794003447391,1.66369443467
K00833,0.830343817329,1.54880988816,0.938706649773,0.809660735421,0.872478909321
K00830,0.857462378603,0.59792155497,1.3507541227,1.5793085069,0.614553436832
K00831,0.794254832136,2.51772726299,0.62002365931,0.361267162187,0.706727083375
K14455,2.41943882715,0.346923277692,1.31032213589,0.335666851456,0.587648907814
K14454,0.158935404377,0.136493577559,0.396418439511,2.88864934009,1.41950323847
K01120,0.840459453073,2.66513246515,0.474713649504,0.554747893081,0.464946539189
K01126,0.307407228213,2.54208422902,0.706272202116,0.549389195834,0.894847144821
K15451,0.142315510914,0.689451775168,1.04621520063,0.674030393834,2.44798711945
K02474,1.91267032986,0.631772791453,1.50651548917,0.0,0.949041389517
K01653,0.0,5.0,0.0,0.0,0.0
K01652,1.2894727246,0.500141563326,1.80790052798,0.589332787883,0.813152396206
K01655,1.57107324844,0.518936253458,1.09996087455,1.55018305123,0.259846572331
K13071,0.703265651687,2.79597099005,0.483425069573,0.71914494777,0.298193340914
K13298,0.891034397298,0.963216562345,1.19096609837,1.15093053682,0.80385240516
K13299,2.28758901322,1.51119023398,1.2012207528,0.0,0.0
K13296,1.17058713291,1.2888431559,1.22934206965,0.924010744553,0.38721689699
K12506,1.4332130373,0.210400036259,1.33792044598,0.754210833442,1.26425564702
K12501,0.544756972229,0.503460236825,0.858151212386,2.53118899224,0.562442586325
K02302,0.464169569372,0.572388005478,1.03992908004,2.12509412692,0.798419218185
K02303,1.67515942547,0.0,0.0,0.0,3.32484057453
K00759,0.379084859938,1.44405343322,0.533553359797,1.73062215979,0.912686187253
K00758,0.324289920765,1.33299533771,0.491931048893,1.70654886814,1.14423482449
K00757,0.632303135584,0.556944149368,1.6970018871,0.99823162578,1.11551920217
K11987,1.10581515969,1.10543840143,0.596022202926,1.56565174027,0.627072495679
K06970,0.376463984791,0.515592254351,1.35644002498,1.21765312071,1.53385061517
K11188,1.36666785011,1.69170793409,0.56664636768,0.945278183875,0.429699664254
K10764,0.799835117323,3.1702883945,0.46665512646,0.210450684587,0.352770677126
K01935,0.0,0.0,0.0,5.0,0.0
K07407,0.06552434948,0.0718992927477,0.62515139984,3.98173598855,0.255688969383
K01805,0.856035634502,0.574485788679,1.11662032989,1.15837660348,1.29448164345
K01244,0.397682504465,2.84619500956,0.441541895737,0.508079399086,0.806501191154
K01243,0.864734751141,3.34874198074,0.195719658092,0.176531118307,0.414272491719
K01240,0.666032162265,0.391102194701,1.01033636632,0.876234782426,2.05629449429
K01241,0.678485479732,0.627499800861,1.14006609009,0.803351815064,1.75059681425
K14260,0.84212773288,0.55631286841,1.7687790702,0.997093915948,0.835686412559
K14267,3.18529081242,0.0,0.55754393586,1.25716525172,0.0
K14264,0.0999374238353,4.29135160071,0.104955072269,0.35499307129,0.148762831891
K00226,1.19335549096,0.626205068185,1.67767358966,0.696468437921,0.806297413275
K00225,2.03627657483,1.50767022624,0.475283959448,0.48273086379,0.498038375696
K01791,1.43692968331,0.759399841525,0.301817345296,1.3610919408,1.14076118907
